F A64L.3;1                          	a64l.3
F MUNLOCK.3;1                       	munlock.3
F MUNLOCKA.3;1                      	munlockall.3
F MVADDCH.3V;1                      	mvaddch.3v
F MVADDSTR.3V;1                     	mvaddstr.3v
F MVCUR.3V;1                        	mvcur.3v
F MVCUR.3X;1                        	mvcur.3x
F MVDELCH.3V;1                      	mvdelch.3v
F MVGETCH.3V;1                      	mvgetch.3v
F MVGETSTR.3V;1                     	mvgetstr.3v
F MVINCH.3V;1                       	mvinch.3v
F MVINSCH.3V;1                      	mvinsch.3v
F MVPRINTW.3V;1                     	mvprintw.3v
F MVSCANW.3V;1                      	mvscanw.3v
F MVWADDCH.3V;1                     	mvwaddch.3v
F MVWADDST.3V;1                     	mvwaddstr.3v
F MVWDELCH.3V;1                     	mvwdelch.3v
F MVWGETCH.3V;1                     	mvwgetch.3v
F MVWGETST.3V;1                     	mvwgetstr.3v
F MVWIN.3V;1                        	mvwin.3v
F MVWINCH.3V;1                      	mvwinch.3v
F MVWINSCH.3V;1                     	mvwinsch.3v
F MVWPRINT.3V;1                     	mvwprintw.3v
F MVWSCANW.3V;1                     	mvwscanw.3v
F NDBM.3;1                          	ndbm.3
F NETNAME2.000;1                    	netname2host.3n
F NETNAME2.3N;1                     	netname2user.3n
F NEWPAD.3V;1                       	newpad.3v
F NEWTERM.3V;1                      	newterm.3v
F NEWWIN.3V;1                       	newwin.3v
F NEWWIN.3X;1                       	newwin.3x
F NEXTAFTE.3M;1                     	nextafter.3m
F NEXTKEY.3X;1                      	nextkey.3x
F NICE.3C;1                         	nice.3c
F NICE.3V;1                         	nice.3v
F NINT.3M;1                         	nint.3m
F NIS.3R;1                          	nis.3r
F NL.3V;1                           	nl.3v
F NL.3X;1                           	nl.3x
F NLIST.3V;1                        	nlist.3v
F NLM_PROT.3R;1                     	nlm_prot.3r
F NL_INIT.3V;1                      	nl_init.3v
F NL_LANG.3C;1                      	nl_lang.3c
F NL_LANGI.3C;1                     	nl_langinfo.3c
F NOCBREAK.3V;1                     	nocbreak.3v
F NOCRMODE.3X;1                     	nocrmode.3x
F NODELAY.3V;1                      	nodelay.3v
F NOECHO.3V;1                       	noecho.3v
F NOECHO.3X;1                       	noecho.3x
F NONL.3V;1                         	nonl.3v
F NONL.3X;1                         	nonl.3x
F NORAW.3V;1                        	noraw.3v
F NORAW.3X;1                        	noraw.3x
F NRAND48.3;1                       	nrand48.3
F NTOHL.3N;1                        	ntohl.3n
F NTOHS.3N;1                        	ntohs.3n
F ON_EXIT.3;1                       	on_exit.3
F OPENDIR.3V;1                      	opendir.3v
F OPENLOG.3;1                       	openlog.3
F OPENPL.3X;1                       	openpl.3x
F OPTARG.3;1                        	optarg.3
F OPTIND.3;1                        	optind.3
F OVERLAY.3V;1                      	overlay.3v
F OVERLAY.3X;1                      	overlay.3x
F OVERWRIT.3V;1                     	overwrite.3v
F OVERWRIT.3X;1                     	overwrite.3x
F PAUSE.3C;1                        	pause.3c
F PAUSE.3V;1                        	pause.3v
F PCLOSE.3S;1                       	pclose.3s
F PERROR.3;1                        	perror.3
F PLOCK.3;1                         	plock.3
F PLOT.3X;1                         	plot.3x
F PMAP_GET.000;1                    	pmap_getmaps.3n
F PMAP_GET.3N;1                     	pmap_getport.3n
F PMAP_RMT.3N;1                     	pmap_rmtcall.3n
F PMAP_SET.3N;1                     	pmap_set.3n
F PMAP_UNS.3N;1                     	pmap_unset.3n
F PNOUTREF.3V;1                     	pnoutrefresh.3v
F PNP.3R;1                          	pnp.3r
F POD_EXIT.3L;1                     	pod_exit.3l
F POD_GETE.3L;1                     	pod_getexit.3l
F POD_GETM.000;1                    	pod_getmaxpri.3l
F POD_GETM.3L;1                     	pod_getmaxsize.3l
F POD_SETE.3L;1                     	pod_setexit.3l
F POD_SETM.3L;1                     	pod_setmaxpri.3l
F POINT.3X;1                        	point.3x
F POPEN.3S;1                        	popen.3s
F PORTMAP.3N;1                      	portmap.3n
F POW.3M;1                          	pow.3m
F POW.3X;1                          	pow.3x
F PRINTF.3S;1                       	printf.3s
F PRINTF.3V;1                       	printf.3v
F PRINTFIL.;1                       	Printfile
F PRINTW.3X;1                       	printw.3x
F PROF.3;1                          	prof.3
F PSIGNAL.3;1                       	psignal.3
F PUBLIC.3R;1                       	public.3r
F PUBLICKE.3R;1                     	publickey.3r
F PUTC.3S;1                         	putc.3s
F PUTCHAR.3S;1                      	putchar.3s
F PUTENV.3;1                        	putenv.3
F PUTPWENT.3;1                      	putpwent.3
F PUTS.3S;1                         	puts.3s
F PUTW.3S;1                         	putw.3s
F PWDAUTH.3;1                       	pwdauth.3
F QSORT.3;1                         	qsort.3
F QUIET_NA.3M;1                     	quiet_nan.3m
F RAND.3C;1                         	rand.3c
F RAND.3V;1                         	rand.3v
F RANDOM.3;1                        	random.3
F RAW.3V;1                          	raw.3v
F RAW.3X;1                          	raw.3x
F RCMD.3N;1                         	rcmd.3n
F READDIR.3V;1                      	readdir.3v
F REALLOC.3;1                       	realloc.3
F REALPATH.3;1                      	realpath.3
F REFRESH.3V;1                      	refresh.3v
F REFRESH.3X;1                      	refresh.3x
F REGEX.3;1                         	regex.3
F REGEXP.3;1                        	regexp.3
F REGISTER.3N;1                     	registerrpc.3n
F REMAINDE.3M;1                     	remainder.3m
F REMEXPOR.3;1                      	remexportent.3
F REMQUE.3;1                        	remque.3
F RESETTER.3V;1                     	resetterm.3v
F RESETTY.3V;1                      	resetty.3v
F RESETTY.3X;1                      	resetty.3x
F RESOLVER.3;1                      	resolver.3
F RES_INIT.3;1                      	res_init.3
F RES_MKQU.3;1                      	res_mkquery.3
F RES_SEND.3;1                      	res_send.3
F REWIND.3S;1                       	rewind.3s
F REWINDDI.3V;1                     	rewinddir.3v
F REX.3R;1                          	rex.3r
F REXEC.3N;1                        	rexec.3n
F RE_COMP.3;1                       	re_comp.3
F RE_EXEC.3;1                       	re_exec.3
F RINDEX.3;1                        	rindex.3
F RINT.3M;1                         	rint.3m
F RNUSERS.3R;1                      	rnusers.3r
F RPC.3N;1                          	rpc.3n
F RPC_CLNT.000;1                    	rpc_clnt_auth.3n
F RPC_CLNT.001;1                    	rpc_clnt_calls.3n
F RPC_CLNT.3N;1                     	rpc_clnt_create.3n
F RPC_CREA.3N;1                     	rpc_createrr.3n
F RPC_SVC_.000;1                    	rpc_svc_calls.3n
F RPC_SVC_.001;1                    	rpc_svc_create.3n
F RPC_SVC_.002;1                    	rpc_svc_err.3n
F RPC_SVC_.3N;1                     	rpc_svc_reg.3n
F RPC_XDR.3N;1                      	rpc_xdr.3n
F RPOW.3X;1                         	rpow.3x
F RQUOTA.3R;1                       	rquota.3r
F RRESVPOR.3N;1                     	rresvport.3n
F RSTAT.3R;1                        	rstat.3r
F RTIME.3N;1                        	rtime.3n
F RUSEROK.3N;1                      	ruserok.3n
F RUSERS.3R;1                       	rusers.3r
F RWALL.3R;1                        	rwall.3r
F SAMECV.3L;1                       	SAMECV.3l
F SAMEMON.3L;1                      	SAMEMON.3l
F SAMETHRE.3L;1                     	SAMETHREAD.3l
F SAVETERM.3V;1                     	saveterm.3v
F SAVETTY.3V;1                      	savetty.3v
F SAVETTY.3X;1                      	savetty.3x
F SCALB.3M;1                        	scalb.3m
F SCALBN.3M;1                       	scalbn.3m
F SCANDIR.3;1                       	scandir.3
F SCANF.3S;1                        	scanf.3s
F SCANF.3V;1                        	scanf.3v
F SCANW.3V;1                        	scanw.3v
F SCANW.3X;1                        	scanw.3x
F SCROLL.3V;1                       	scroll.3v
F SCROLL.3X;1                       	scroll.3x
F SCROLLOK.3V;1                     	scrollok.3v
F SCROLLOK.3X;1                     	scrollok.3x
F SECONVER.3;1                      	seconvert.3
F SECRET.3R;1                       	secret.3r
F SECURE_R.3N;1                     	secure_rpc.3n
F SEED48.3;1                        	seed48.3
F SEEKDIR.3V;1                      	seekdir.3v
F SETAC.3;1                         	setac.3
F SETBUF.3S;1                       	setbuf.3s
F SETBUF.3V;1                       	setbuf.3v
F SETBUFFE.3S;1                     	setbuffer.3s
F SETBUFFE.3V;1                     	setbuffer.3v
F SETEGID.3;1                       	setegid.3
F SETEGID.3V;1                      	setegid.3v
F SETEUID.3;1                       	seteuid.3
F SETEUID.3V;1                      	seteuid.3v
F SETEXPOR.3;1                      	setexportent.3
F SETFSENT.3;1                      	setfsent.3
F SETGID.3V;1                       	setgid.3v
F SETGRAEN.3;1                      	setgraent.3
F SETGRENT.3V;1                     	setgrent.3v
F SETHOSTE.3N;1                     	sethostent.3n
F SETJMP.3V;1                       	setjmp.3v
F SETKEY.3;1                        	setkey.3
F SETLINEB.3S;1                     	setlinebuf.3s
F SETLINEB.3V;1                     	setlinebuf.3v
F SETLOCAL.3V;1                     	setlocale.3v
F SETLOGMA.3;1                      	setlogmask.3
F SETMNTEN.3;1                      	setmntent.3
F SETNETEN.3N;1                     	setnetent.3n
F SETNETGR.3N;1                     	setnetgrent.3n
F SETPROTO.3N;1                     	setprotoent.3n
F SETPWAEN.3;1                      	setpwaent.3
F SETPWENT.3V;1                     	setpwent.3v
F SETPWFIL.3V;1                     	setpwfile.3v
F SETRGID.3;1                       	setrgid.3
F SETRGID.3V;1                      	setrgid.3v
F SETRPCEN.3N;1                     	setrpcent.3n
F SETRUID.3;1                       	setruid.3
F SETRUID.3V;1                      	setruid.3v
F SETSCRRE.3V;1                     	setscrreg.3v
F SETSERVE.3N;1                     	setservent.3n
F SETSTATE.3;1                      	setstate.3
F SETTERM.3V;1                      	setterm.3v
F SETTERM.3X;1                      	setterm.3x
F SETTTYEN.3;1                      	setttyent.3
F SETUID.3V;1                       	setuid.3v
F SETUPTER.3V;1                     	setupterm.3v
F SETUSERS.3;1                      	setusershell.3
F SETVBUF.3S;1                      	setvbuf.3s
F SETVBUF.3V;1                      	setvbuf.3v
F SET_TERM.3V;1                     	set_term.3v
F SFCONVER.3;1                      	sfconvert.3
F SGCONVER.3;1                      	sgconvert.3
F SGETL.3V;1                        	sgetl.3v
F SIGACTIO.3V;1                     	sigaction.3v
F SIGADDSE.3V;1                     	sigaddset.3v
F SIGDELSE.3V;1                     	sigdelset.3v
F SIGEMPTY.3V;1                     	sigemptyset.3v
F SIGFILLS.3V;1                     	sigfillset.3v
F SIGFPE.3;1                        	sigfpe.3
F SIGINTER.3V;1                     	siginterrupt.3v
F SIGISMEM.3V;1                     	sigismember.3v
F SIGLONGJ.3V;1                     	siglongjmp.3v
F SIGNAL.3V;1                       	signal.3v
F SIGNALIN.3M;1                     	signaling_nan.3m
F SIGNBIT.3M;1                      	signbit.3m
F SIGNIFIC.000;1                    	significand.3m
F SIGNIFIC.3M;1                     	significant.3m
F SIGSETJM.3V;1                     	sigsetjmp.3v
F SIGSETOP.3V;1                     	sigsetops.3v
F SIN.3M;1                          	sin.3m
F SINGLE_P.3M;1                     	single_precision.3m
F SINGLE_T.3;1                      	single_to_decimal.3
F SINH.3M;1                         	sinh.3m
F SLEEP.3V;1                        	sleep.3v
F SM_INTER.3R;1                     	sm_inter.3r
F SPACE.3X;1                        	space.3x
F SPRAY.3R;1                        	spray.3r
F SPRINTF.3S;1                      	sprintf.3s
F SPRINTF.3V;1                      	sprintf.3v
F SPUTL.3V;1                        	sputl.3v
F SQRT.3M;1                         	sqrt.3m
F SRAND.3C;1                        	srand.3c
F SRAND.3V;1                        	srand.3v
F SRAND48.3;1                       	srand48.3
F SRANDOM.3;1                       	srandom.3
F SSCANF.3S;1                       	sscanf.3s
F SSCANF.3V;1                       	sscanf.3v
F SSIGNAL.3;1                       	ssignal.3
F STANDEND.3V;1                     	standend.3v
F STANDEND.3X;1                     	standend.3x
F STANDOUT.3V;1                     	standout.3v
F STANDOUT.3X;1                     	standout.3x
F STDIO.3S;1                        	stdio.3s
F STDIO.3V;1                        	stdio.3v
F STKTOP.3L;1                       	STKTOP.3l
F STORE.3X;1                        	store.3x
F STRCASEC.3;1                      	strcasecmp.3
F STRCAT.3;1                        	strcat.3
F STRCHR.3;1                        	strchr.3
F STRCMP.3;1                        	strcmp.3
F STRCOLL.3;1                       	strcoll.3
F STRCPY.3;1                        	strcpy.3
F STRCSPN.3;1                       	strcspn.3
F STRDUP.3;1                        	strdup.3
F STRFTIME.3V;1                     	strftime.3v
F STRING.3;1                        	string.3
F STRINGS.3;1                       	strings.3
F STRING_T.3;1                      	string_to_decimal.3
F STRLEN.3;1                        	strlen.3
F STRNCASE.3;1                      	strncasecmp.3
F STRNCAT.3;1                       	strncat.3
F STRNCMP.3;1                       	strncmp.3
F STRNCPY.3;1                       	strncpy.3
F STRPBRK.3;1                       	strpbrk.3
F STRPTIME.3V;1                     	strptime.3v
F STRRCHR.3;1                       	strrchr.3
F STRSPN.3;1                        	strspn.3
F STRSTR.3;1                        	strstr.3
F STRTOD.3;1                        	strtod.3
F STRTOK.3;1                        	strtok.3
F STRTOL.3;1                        	strtol.3
F STRXFRM.3;1                       	strxfrm.3
F STTY.3C;1                         	stty.3c
F SUBWIN.3V;1                       	subwin.3v
F SUBWIN.3X;1                       	subwin.3x
F SVCERR_A.3N;1                     	svcerr_auth.3n
F SVCERR_D.3N;1                     	svcerr_decode.3n
F SVCERR_N.000;1                    	svcerr_noproc.3n
F SVCERR_N.3N;1                     	svcerr_noprog.3n
F SVCERR_P.3N;1                     	svcerr_progvers.3n
F SVCERR_S.3N;1                     	svcerr_systemerr.3n
F SVCERR_W.3N;1                     	svcerr_weakauth.3n
F SVCFD_CR.3N;1                     	svcfd_create.3n
F SVCRAW_C.3N;1                     	svcraw_create.3n
F SVCTCP_C.3N;1                     	svctcp_create.3n
F SVCUDP_B.3N;1                     	svcudp_bufcreate.3n
F SVCUDP_C.3N;1                     	svcudp_create.3n
F SVC_DEST.3N;1                     	svc_destroy.3n
F SVC_FDS.3N;1                      	svc_fds.3n
F SVC_FDSE.3N;1                     	svc_fdset.3n
F SVC_FREE.3N;1                     	svc_freeargs.3n
F SVC_GETA.3N;1                     	svc_getargs.3n
F SVC_GETC.3N;1                     	svc_getcaller.3n
F SVC_GETR.000;1                    	svc_getreq.3n
F SVC_GETR.3N;1                     	svc_getreqset.3n
F SVC_REGI.3N;1                     	svc_register.3n
F SVC_RUN.3N;1                      	svc_run.3n
F SVC_SEND.3N;1                     	svc_sendreply.3n
F SVC_UNRE.3N;1                     	svc_unregister.3n
F SWAB.3;1                          	swab.3
F SYSLOG.3;1                        	syslog.3
F SYSTEM.3;1                        	system.3
F SYS_ERRL.3;1                      	sys_errlist.3
F SYS_NERR.3;1                      	sys_nerr.3
F SYS_SIGL.3;1                      	sys_siglist.3
F TAN.3M;1                          	tan.3m
F TANH.3M;1                         	tanh.3m
F TCDRAIN.3V;1                      	tcdrain.3v
F TCFLOW.3V;1                       	tcflow.3v
F TCFLUSH.3V;1                      	tcflush.3v
F TCGETATT.3V;1                     	tcgetattr.3v
F TCGETPGR.3V;1                     	tcgetpgrp.3v
F TCSENDBR.3V;1                     	tcsendbreak.3v
F TCSETATT.3V;1                     	tcsetattr.3v
F TCSETPGR.3V;1                     	tcsetpgrp.3v
F TDELETE.3;1                       	tdelete.3
F TELLDIR.3V;1                      	telldir.3v
F TEMPNAM.3S;1                      	tempnam.3s
F TERMCAP.3X;1                      	termcap.3x
F TERMIOS.3V;1                      	termios.3v
F TEXTDOMA.3;1                      	textdomain.3
F TFIND.3;1                         	tfind.3
F TGETENT.3X;1                      	tgetent.3x
F TGETFLAG.3X;1                     	tgetflag.3x
F TGETNUM.3X;1                      	tgetnum.3x
F TGETSTR.3X;1                      	tgetstr.3x
F TGOTO.3X;1                        	tgoto.3x
F TIME.3C;1                         	time.3c
F TIME.3V;1                         	time.3v
F TIMEGM.3V;1                       	timegm.3v
F TIMELOCA.3V;1                     	timelocal.3v
F TIMES.3C;1                        	times.3c
F TIMES.3V;1                        	times.3v
F TIMEZONE.3C;1                     	timezone.3c
F TMPFILE.3S;1                      	tmpfile.3s
F TMPNAM.3S;1                       	tmpnam.3s
F TOASCII.3V;1                      	toascii.3v
F TOLOWER.3V;1                      	tolower.3v
F TOUCHWIN.3V;1                     	touchwin.3v
F TOUCHWIN.3X;1                     	touchwin.3x
F TOUPPER.3V;1                      	toupper.3v
F TPUTS.3X;1                        	tputs.3x
F TRACEOFF.3V;1                     	traceoff.3v
F TRACEON.3V;1                      	traceon.3v
F TRIG.3M;1                         	trig.3m
F TSEARCH.3;1                       	tsearch.3
F TTYNAME.3V;1                      	ttyname.3v
F TTYSLOT.3V;1                      	ttyslot.3v
F TWALK.3;1                         	twalk.3
F TYPEAHEA.3V;1                     	typeahead.3v
F TZSET.3V;1                        	tzset.3v
F TZSETWAL.3V;1                     	tzsetwall.3v
F T_ACCEPT.3N;1                     	t_accept.3n
F T_ALLOC.3N;1                      	t_alloc.3n
F T_BIND.3N;1                       	t_bind.3n
F T_CLOSE.3N;1                      	t_close.3n
F T_CONNEC.3N;1                     	t_connect.3n
F T_ERROR.3N;1                      	t_error.3n
F T_FREE.3N;1                       	t_free.3n
F T_GETINF.3N;1                     	t_getinfo.3n
F T_GETSTA.3N;1                     	t_getstate.3n
F T_LISTEN.3N;1                     	t_listen.3n
F T_LOOK.3N;1                       	t_look.3n
F T_OPEN.3N;1                       	t_open.3n
F T_OPTMGM.3N;1                     	t_optmgmt.3n
F T_RCV.3N;1                        	t_rcv.3n
F T_RCVCON.3N;1                     	t_rcvconnect.3n
F T_RCVDIS.3N;1                     	t_rcvdis.3n
F T_RCVREL.3N;1                     	t_rcvrel.3n
F T_RCVUDA.3N;1                     	t_rcvudata.3n
F T_RCVUDE.3N;1                     	t_rcvuderr.3n
F T_SND.3N;1                        	t_snd.3n
F T_SNDDIS.3N;1                     	t_snddis.3n
F T_SNDREL.3N;1                     	t_sndrel.3n
F T_SNDUDA.3N;1                     	t_sndudata.3n
F T_SYNC.3N;1                       	t_sync.3n
F T_UNBIND.3N;1                     	t_unbind.3n
F UALARM.3;1                        	ualarm.3
F ULIMIT.3C;1                       	ulimit.3c
F UNCTRL.3V;1                       	unctrl.3v
F UNCTRL.3X;1                       	unctrl.3x
F UNGETC.3S;1                       	ungetc.3s
F USER2NET.3N;1                     	user2netname.3n
F USLEEP.3;1                        	usleep.3
F UTIME.3V;1                        	utime.3v
F VALLOC.3;1                        	valloc.3
F VALUES.3;1                        	values.3
F VARARGS.3;1                       	varargs.3
F VFPRINTF.3S;1                     	vfprintf.3s
F VFPRINTF.3V;1                     	vfprintf.3v
F VLIMIT.3C;1                       	vlimit.3c
F VPRINTF.3S;1                      	vprintf.3s
F VPRINTF.3V;1                      	vprintf.3v
F VSPRINTF.3S;1                     	vsprintf.3s
F VSPRINTF.3V;1                     	vsprintf.3v
F VSYSLOG.3;1                       	vsyslog.3
F VTIMES.3C;1                       	vtimes.3c
F WADDCH.3V;1                       	waddch.3v
F WADDCH.3X;1                       	waddch.3x
F WADDSTR.3V;1                      	waddstr.3v
F WADDSTR.3X;1                      	waddstr.3x
F WATTROFF.3V;1                     	wattroff.3v
F WATTRON.3V;1                      	wattron.3v
F WATTRSET.3V;1                     	wattrset.3v
F WCLEAR.3V;1                       	wclear.3v
F WCLEAR.3X;1                       	wclear.3x
F WCLRTOBO.3V;1                     	wclrtobot.3v
F WCLRTOBO.3X;1                     	wclrtobot.3x
F WCLRTOEO.3V;1                     	wclrtoeol.3v
F WCLRTOEO.3X;1                     	wclrtoeol.3x
F WCSTOMBS.3;1                      	wcstombs.3
F WCTOMB.3;1                        	wctomb.3
F WDELCH.3V;1                       	wdelch.3v
F WDELCH.3X;1                       	wdelch.3x
F WDELETEL.3V;1                     	wdeleteln.3v
F WDELETEL.3X;1                     	wdeleteln.3x
F WERASE.3V;1                       	werase.3v
F WERASE.3X;1                       	werase.3x
F WGETCH.3V;1                       	wgetch.3v
F WGETCH.3X;1                       	wgetch.3x
F WGETSTR.3V;1                      	wgetstr.3v
F WGETSTR.3X;1                      	wgetstr.3x
F WINCH.3V;1                        	winch.3v
F WINCH.3X;1                        	winch.3x
F WINSCH.3V;1                       	winsch.3v
F WINSCH.3X;1                       	winsch.3x
F WINSERTL.3V;1                     	winsertln.3v
F WINSERTL.3X;1                     	winsertln.3x
F WMOVE.3V;1                        	wmove.3v
F WMOVE.3X;1                        	wmove.3x
F WNOUTREF.3V;1                     	wnoutrefresh.3v
F WPRINTW.3V;1                      	wprintw.3v
F WPRINTW.3X;1                      	wprintw.3x
F WREFRESH.3V;1                     	wrefresh.3v
F WREFRESH.3X;1                     	wrefresh.3x
F WSCANW.3V;1                       	wscanw.3v
F WSCANW.3X;1                       	wscanw.3x
F WSETSCRR.3V;1                     	wsetscrreg.3v
F WSTANDEN.3V;1                     	wstandend.3v
F WSTANDEN.3X;1                     	wstandend.3x
F WSTANDOU.3V;1                     	wstandout.3v
F WSTANDOU.3X;1                     	wstandout.3x
F XDR.3N;1                          	xdr.3n
F XDRMEM_C.3N;1                     	xdrmem_create.3n
F XDRREC_C.3N;1                     	xdrrec_create.3n
F XDRREC_E.000;1                    	xdrrec_endofrecord.3n
F XDRREC_E.3N;1                     	xdrrec_eof.3n
F XDRREC_R.3N;1                     	xdrrec_readbytes.3n
F XDRREC_S.3N;1                     	xdrrec_skiprecord.3n
F XDRSTDIO.3N;1                     	xdrstdio_create.3n
F XDR_ACCE.3N;1                     	xdr_accepted_reply.3n
F XDR_ADMI.3N;1                     	xdr_admin.3n
F XDR_ARRA.3N;1                     	xdr_array.3n
F XDR_AUTH.3N;1                     	xdr_authunix_parms.3n
F XDR_BOOL.3N;1                     	xdr_bool.3n
F XDR_BYTE.3N;1                     	xdr_bytes.3n
F XDR_CALL.000;1                    	xdr_callhdr.3n
F XDR_CALL.3N;1                     	xdr_callmsg.3n
F XDR_CHAR.3N;1                     	xdr_char.3n
F XDR_COMP.3N;1                     	xdr_complex.3n
F XDR_CREA.3N;1                     	xdr_create.3n
F XDR_DEST.3N;1                     	xdr_destroy.3n
F XDR_DOUB.3N;1                     	xdr_double.3n
F XDR_ENUM.3N;1                     	xdr_enum.3n
F XDR_FLOA.3N;1                     	xdr_float.3n
F XDR_FREE.3N;1                     	xdr_free.3n
F XDR_GETP.3N;1                     	xdr_getpos.3n
F XDR_INLI.3N;1                     	xdr_inline.3n
F XDR_INT.3N;1                      	xdr_int.3n
F XDR_LONG.3N;1                     	xdr_long.3n
F XDR_OPAQ.000;1                    	xdr_opaque_auth.3n
F XDR_OPAQ.3N;1                     	xdr_opaque.3n
F XDR_PAMP.3N;1                     	xdr_pamp.3n
F XDR_PMAP.3N;1                     	xdr_pmaplist.3n
F XDR_POIN.3N;1                     	xdr_pointer.3n
F XDR_REFE.3N;1                     	xdr_reference.3n
F XDR_REJE.3N;1                     	xdr_rejected_reply.3n
F XDR_REPL.3N;1                     	xdr_replymsg.3n
F XDR_SETP.3N;1                     	xdr_setpos.3n
F XDR_SHOR.3N;1                     	xdr_short.3n
F XDR_SIMP.3N;1                     	xdr_simple.3n
F XDR_STRI.3N;1                     	xdr_string.3n
F XDR_UNIO.3N;1                     	xdr_union.3n
F XDR_U_CH.3N;1                     	xdr_u_char.3n
F XDR_U_IN.3N;1                     	xdr_u_int.3n
F XDR_U_LO.3N;1                     	xdr_u_long.3n
F XDR_U_SH.3N;1                     	xdr_u_short.3n
F XDR_VECT.3N;1                     	xdr_vector.3n
F XDR_VOID.3N;1                     	xdr_void.3n
F XDR_WRAP.3N;1                     	xdr_wrapstring.3n
F XENCRYPT.3R;1                     	xencrypt.3r
F XPRT_REG.3N;1                     	xprt_register.3n
F XPRT_UNR.3N;1                     	xprt_unregister.3n
F XTOM.3X;1                         	xtom.3x
F Y0.3M;1                           	y0.3m
F Y1.3M;1                           	y1.3m
F YN.3M;1                           	yn.3m
F YP.3R;1                           	yp.3r
F YPCLNT.3N;1                       	ypclnt.3n
F YPERR_ST.3N;1                     	yperr_string.3n
F YPPASSWD.3R;1                     	yppasswd.3r
F YPPROT_E.3N;1                     	ypprot_err.3n
F YPUPDATE.3N;1                     	ypupdate.3n
F YP_ALL.3N;1                       	yp_all.3n
F YP_BIND.3N;1                      	yp_bind.3n
F YP_FIRST.3N;1                     	yp_first.3n
F YP_GET_D.3N;1                     	yp_get_default_domain.3n
F YP_MASTE.3N;1                     	yp_master.3n
F YP_MATCH.3N;1                     	yp_match.3n
F YP_NEXT.3N;1                      	yp_next.3n
F YP_ORDER.3N;1                     	yp_order.3n
F YP_UNBIN.3N;1                     	yp_unbind.3n
F YP_UPDAT.3N;1                     	yp_update.3n
F _CRYPT.3;1                        	_crypt.3
F _TOLOWER.3V;1                     	_tolower.3v
F _TOUPPER.3V;1                     	_toupper.3v
